Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000,6110,5660,6110,4591.916992,74195000
2000-01-05,5800,6060,5520,5580,4193.599121,74680000
2000-01-06,5750,5780,5580,5620,4223.660645,54390000
2000-01-07,5560,5670,5360,5540,4163.538574,40305000
2000-01-10,5600,5770,5580,5770,4336.393066,46880000
2000-01-11,5820,6100,5770,5770,4336.393066,59745000
2000-01-12,5610,5740,5600,5720,4298.81543,29220000
2000-01-13,5600,5740,5560,5710,4291.300293,41190000
2000-01-14,5720,5880,5680,5830,4381.483398,49375000
2000-01-17,6000,6180,5920,6100,4584.399414,63505000
2000-01-18,6160,6160,5980,6100,4584.399414,45260000
2000-01-19,6000,6040,5960,5960,4479.186035,40205000
2000-01-20,5860,6040,5820,6040,4539.307129,37315000
2000-01-21,5950,5980,5880,5880,4419.060059,32535000
2000-01-24,5800,5900,5700,5700,4283.783203,34355000
2000-01-25,5520,5640,5440,5440,4088.383301,44250000
2000-01-26,5500,5520,5410,5480,4118.444336,29285000
2000-01-27,5480,5620,5430,5520,4148.506348,27900000
2000-01-28,5640,5880,5540,5820,4373.968262,38315000
2000-01-31,5640,5730,5560,5580,4193.599121,39630000
2000-02-01,5600,5680,5260,5320,3998.19873,71470000
2000-02-02,5220,5370,5110,5250,3945.590576,64105000
2000-02-03,5250,5460,4970,5130,3855.405273,142765000
2000-02-04,5130,5130,5130,5130,3855.405273,0
2000-02-07,5140,5330,5040,5240,3938.074707,64140000
2000-02-08,5340,5480,5310,5430,4080.868896,58460000
2000-02-09,5560,5720,5480,5720,4298.81543,51050000
2000-02-10,5660,5880,5600,5760,4328.876465,61845000
2000-02-11,5960,5960,5680,5700,4283.783203,34660000
2000-02-14,5600,5660,5340,5380,4043.291748,44140000
2000-02-15,5380,5420,5140,5200,3908.012207,38315000
2000-02-16,5180,5200,4780,5000,3757.705078,73115000
2000-02-17,4940,5100,4910,5080,3817.828369,65185000
2000-02-18,5370,5630,5160,5300,3983.168213,108750000
2000-02-21,5200,5260,5030,5070,3810.313232,26485000
2000-02-22,5000,5240,5000,5120,3847.890381,24180000
2000-02-23,5220,5260,5100,5140,3862.920898,27720000
2000-02-24,5120,5240,5060,5070,3810.313232,26075000
2000-02-25,5080,5150,4980,5120,3847.890381,27875000
2000-02-28,5000,5050,4800,4800,3607.397461,30140000
2000-02-29,4900,5140,4840,5120,3847.890381,51820000
2000-03-01,5120,5120,5120,5120,3847.890381,0
2000-03-02,5880,5880,5520,5880,4419.060059,117750000
2000-03-03,6200,6250,5880,6000,4509.247559,140990000
2000-03-06,6000,6050,5600,5640,4238.69043,39150000
2000-03-07,5600,5640,5480,5620,4223.660645,30070000
2000-03-08,5520,6000,5500,5920,4449.12207,32460000
2000-03-09,5970,5980,5620,5620,4223.660645,55890000
2000-03-10,5790,5800,5520,5540,4163.538574,28605000
2000-03-13,5480,5490,5160,5180,3892.982666,32215000
2000-03-14,5170,5380,5160,5210,3915.52832,30060000
2000-03-15,5200,5400,5120,5400,4058.322266,46105000
2000-03-16,5480,5520,5360,5400,4058.322266,28795000
2000-03-17,5540,5560,5400,5480,4118.444336,24080000
